id,Sup,age,nStanze,y_age,anno
66,116.0,74,4.0,110000.0,1950
67,132.0,60,4.0,147000.0,1964
68,100.0,35,3.0,165000.0,1989
69,85.0,57,3.0,118000.0,1967
70,140.0,46,4.0,173000.0,1978
71,84.0,7,3.0,194000.0,2017
72,133.0,56,4.0,168000.0,1968
73,125.0,54,4.0,153000.0,1970
74,112.0,35,3.0,173000.0,1989
75,142.0,3,4.0,274000.0,2021
76,121.0,18,4.0,226000.0,2006
77,117.0,46,4.0,171000.0,1978
78,102.0,60,3.0,122000.0,1964
79,136.0,68,4.0,128000.0,1956
80,157.0,17,5.0,265000.0,2007
81,130.0,6,4.0,251000.0,2018
82,130.0,11,4.0,246000.0,2013
83,108.0,4,3.0,229000.0,2020
84,110.0,8,3.0,218000.0,2016
85,148.0,40,4.0,196000.0,1984
86,147.0,64,4.0,163000.0,1960
87,110.0,32,3.0,161000.0,1992
88,109.0,63,3.0,122000.0,1961
89,136.0,11,4.0,254000.0,2013
90,95.0,71,3.0,103000.0,1953
91,104.0,59,3.0,133000.0,1965
92,123.0,60,4.0,138000.0,1964
93,103.0,65,3.0,111000.0,1959
94,88.0,62,3.0,113000.0,1962
95,93.0,59,3.0,121000.0,1965
96,121.0,16,4.0,233000.0,2008
97,80.0,56,2.0,122000.0,1968
98,114.0,72,3.0,111000.0,1952
99,100.0,54,3.0,130000.0,1970
100,77.0,33,2.0,137000.0,1991
101,115.0,40,3.0,168000.0,1984
102,98.0,35,3.0,163000.0,1989
103,104.0,58,3.0,136000.0,1966
104,126.0,3,4.0,253000.0,2021
105,98.0,26,3.0,184000.0,1998
106,97.0,40,3.0,152000.0,1984
107,106.0,32,3.0,187000.0,1992
108,79.0,43,2.0,138000.0,1981
109,100.0,29,3.0,172000.0,1995
110,114.0,10,3.0,208000.0,2014
111,90.0,46,3.0,133000.0,1978
112,120.0,28,4.0,193000.0,1996
113,122.0,14,4.0,235000.0,2010
114,112.0,43,3.0,158000.0,1981
115,124.0,60,4.0,142000.0,1964
116,105.0,58,3.0,129000.0,1966
117,113.0,33,3.0,184000.0,1991
118,103.0,31,3.0,171000.0,1993
119,92.0,14,3.0,192000.0,2010
120,120.0,30,4.0,192000.0,1994
121,121.0,30,4.0,187000.0,1994
122,96.0,32,3.0,167000.0,1992
123,114.0,7,3.0,235000.0,2017
124,111.0,29,3.0,175000.0,1995
125,90.0,34,3.0,158000.0,1990
126,103.0,32,3.0,159000.0,1992
127,64.0,15,2.0,149000.0,2009
128,88.0,61,3.0,115000.0,1963
129,134.0,23,4.0,249000.0,2001
130,142.0,1,4.0,270000.0,2023
131,89.0,56,3.0,121000.0,1968
132,141.0,66,4.0,150000.0,1958
133,82.0,34,2.0,137000.0,1990
134,119.0,16,4.0,223000.0,2008
135,89.0,64,3.0,106000.0,1960
136,107.0,68,3.0,115000.0,1956
137,78.0,9,2.0,178000.0,2015
138,74.0,47,2.0,115000.0,1977
139,130.0,61,4.0,140000.0,1963
140,113.0,41,3.0,163000.0,1983
141,109.0,52,3.0,149000.0,1972
142,91.0,63,3.0,108000.0,1961
143,78.0,13,2.0,184000.0,2011
144,86.0,47,3.0,139000.0,1977
145,116.0,51,4.0,146000.0,1973
146,86.0,60,3.0,111000.0,1964
147,124.0,6,4.0,244000.0,2018
148,114.0,24,3.0,193000.0,2000
149,111.0,35,3.0,173000.0,1989
150,84.0,55,3.0,117000.0,1969
151,151.0,32,5.0,228000.0,1992
152,89.0,50,3.0,135000.0,1974
153,91.0,20,3.0,167000.0,2004
154,122.0,54,4.0,152000.0,1970
155,73.0,34,2.0,123000.0,1990
156,117.0,66,4.0,124000.0,1958
157,105.0,51,3.0,144000.0,1973
158,71.0,43,2.0,133000.0,1981
159,109.0,59,3.0,137000.0,1965
160,123.0,14,4.0,232000.0,2010
161,75.0,43,2.0,129000.0,1981
162,117.0,2,4.0,254000.0,2022
163,109.0,44,3.0,158000.0,1980
164,75.0,3,2.0,185000.0,2021
165,121.0,35,4.0,187000.0,1989
166,96.0,1,3.0,218000.0,2023
167,76.0,20,2.0,168000.0,2004
168,130.0,24,4.0,214000.0,2000
169,143.0,55,4.0,171000.0,1969
170,85.0,10,3.0,190000.0,2014
171,114.0,27,3.0,187000.0,1997
172,69.0,38,2.0,122000.0,1986
173,118.0,8,4.0,235000.0,2016
174,120.0,55,4.0,156000.0,1969
175,79.0,6,2.0,184000.0,2018
176,104.0,7,3.0,223000.0,2017
177,74.0,3,2.0,188000.0,2021
178,112.0,48,3.0,150000.0,1976
179,107.0,69,3.0,117000.0,1955
180,91.0,33,3.0,161000.0,1991
181,95.0,9,3.0,223000.0,2015
182,55.0,59,2.0,87000.0,1965
183,121.0,9,4.0,242000.0,2015
184,122.0,29,4.0,196000.0,1995
185,107.0,70,3.0,114000.0,1954
186,113.0,64,3.0,120000.0,1960
187,86.0,40,3.0,151000.0,1984
188,98.0,30,3.0,173000.0,1994
189,121.0,45,4.0,161000.0,1979
190,114.0,59,3.0,133000.0,1965
191,74.0,8,2.0,183000.0,2016
192,100.0,70,3.0,109000.0,1954
193,128.0,59,4.0,153000.0,1965
194,86.0,46,3.0,127000.0,1978
195,105.0,64,3.0,119000.0,1960
196,109.0,71,3.0,113000.0,1953
197,95.0,37,3.0,161000.0,1987
198,126.0,65,4.0,131000.0,1959
199,84.0,14,3.0,169000.0,2010
200,118.0,26,4.0,190000.0,1998
201,64.0,22,2.0,140000.0,2002
202,98.0,67,3.0,104000.0,1957
203,103.0,8,3.0,230000.0,2016
204,93.0,39,3.0,145000.0,1985
205,103.0,6,3.0,222000.0,2018
206,159.0,35,5.0,219000.0,1989
207,120.0,21,4.0,206000.0,2003
208,99.0,71,3.0,98000.0,1953
209,95.0,74,3.0,99000.0,1950
210,117.0,11,4.0,234000.0,2013
211,93.0,64,3.0,111000.0,1960
212,121.0,7,4.0,240000.0,2017
213,92.0,37,3.0,148000.0,1987
214,88.0,47,3.0,129000.0,1977
215,91.0,30,3.0,167000.0,1994
216,121.0,11,4.0,226000.0,2013
217,120.0,32,4.0,200000.0,1992
218,101.0,18,3.0,193000.0,2006
219,124.0,19,4.0,222000.0,2005
220,119.0,63,4.0,138000.0,1961
221,84.0,10,3.0,173000.0,2014
222,150.0,51,5.0,186000.0,1973
223,96.0,36,3.0,152000.0,1988
224,71.0,34,2.0,141000.0,1990
225,96.0,6,3.0,196000.0,2018
226,122.0,2,4.0,246000.0,2022
227,107.0,33,3.0,173000.0,1991
228,111.0,57,3.0,137000.0,1967
229,84.0,2,3.0,216000.0,2022
230,104.0,26,3.0,183000.0,1998
231,85.0,43,3.0,139000.0,1981
232,86.0,3,3.0,197000.0,2021
233,128.0,43,4.0,184000.0,1981
234,104.0,27,3.0,184000.0,1997
235,88.0,28,3.0,166000.0,1996
236,104.0,66,3.0,116000.0,1958
237,111.0,38,3.0,171000.0,1986
238,138.0,68,4.0,138000.0,1956
239,110.0,48,3.0,145000.0,1976
240,66.0,48,2.0,102000.0,1976
241,121.0,13,4.0,234000.0,2011
242,99.0,14,3.0,197000.0,2010
243,114.0,74,3.0,108000.0,1950
244,124.0,54,4.0,152000.0,1970
245,113.0,5,3.0,232000.0,2019
246,90.0,9,3.0,201000.0,2015
247,64.0,65,2.0,81000.0,1959
248,101.0,20,3.0,196000.0,2004
249,147.0,22,4.0,243000.0,2002
250,95.0,50,3.0,142000.0,1974
251,103.0,2,3.0,232000.0,2022
252,75.0,72,2.0,80000.0,1952
253,142.0,51,4.0,178000.0,1973
254,85.0,53,3.0,115000.0,1971
255,90.0,28,3.0,169000.0,1996
256,122.0,36,4.0,184000.0,1988
257,119.0,57,4.0,139000.0,1967
258,139.0,58,4.0,160000.0,1966
259,88.0,48,3.0,125000.0,1976
260,127.0,58,4.0,148000.0,1966
261,115.0,60,3.0,133000.0,1964
262,111.0,39,3.0,178000.0,1985
263,89.0,62,3.0,110000.0,1962
264,80.0,53,2.0,107000.0,1971
265,117.0,73,4.0,113000.0,1951
266,117.0,15,4.0,230000.0,2009
267,91.0,25,3.0,174000.0,1999
268,128.0,73,4.0,116000.0,1951
269,107.0,24,3.0,196000.0,2000
270,77.0,54,2.0,115000.0,1970
271,76.0,7,2.0,181000.0,2017
272,77.0,52,2.0,120000.0,1972
273,108.0,72,3.0,108000.0,1952
274,115.0,5,3.0,243000.0,2019
275,109.0,71,3.0,110000.0,1953
276,97.0,64,3.0,109000.0,1960
277,108.0,38,3.0,162000.0,1986
278,94.0,2,3.0,200000.0,2022
279,94.0,12,3.0,193000.0,2012
280,77.0,52,2.0,121000.0,1972
281,117.0,52,4.0,146000.0,1972
282,104.0,29,3.0,177000.0,1995
283,111.0,42,3.0,163000.0,1982
284,118.0,73,4.0,122000.0,1951
285,96.0,50,3.0,142000.0,1974
286,85.0,29,3.0,159000.0,1995
287,111.0,15,3.0,214000.0,2009
288,115.0,21,3.0,209000.0,2003
289,95.0,17,3.0,184000.0,2007
290,122.0,49,4.0,152000.0,1975
291,115.0,48,3.0,154000.0,1976
292,101.0,39,3.0,155000.0,1985
293,110.0,35,3.0,195000.0,1989
294,112.0,16,3.0,200000.0,2008
295,112.0,1,3.0,245000.0,2023
296,113.0,66,3.0,122000.0,1958
297,98.0,44,3.0,140000.0,1980
298,95.0,49,3.0,143000.0,1975
299,105.0,33,3.0,177000.0,1991
300,80.0,19,2.0,170000.0,2005
301,122.0,65,4.0,130000.0,1959
302,100.0,12,3.0,208000.0,2012
303,98.0,1,3.0,209000.0,2023
304,116.0,67,4.0,120000.0,1957
305,129.0,15,4.0,252000.0,2009
306,101.0,33,3.0,160000.0,1991
307,107.0,57,3.0,135000.0,1967
308,124.0,16,4.0,228000.0,2008
309,82.0,7,2.0,186000.0,2017
310,72.0,59,2.0,106000.0,1965
311,93.0,35,3.0,163000.0,1989
312,115.0,39,3.0,177000.0,1985
313,91.0,2,3.0,200000.0,2022
314,142.0,27,4.0,241000.0,1997
315,77.0,5,2.0,197000.0,2019
316,110.0,69,3.0,104000.0,1955
317,100.0,3,3.0,216000.0,2021
318,109.0,2,3.0,241000.0,2022
319,112.0,41,3.0,176000.0,1983
320,117.0,52,4.0,156000.0,1972
321,115.0,31,3.0,182000.0,1993
322,88.0,40,3.0,145000.0,1984
323,136.0,5,4.0,272000.0,2019
324,93.0,2,3.0,206000.0,2022
325,87.0,18,3.0,173000.0,2006
326,103.0,26,3.0,174000.0,1998
327,137.0,50,4.0,174000.0,1974
328,79.0,17,2.0,165000.0,2007
329,99.0,32,3.0,163000.0,1992
330,85.0,13,3.0,187000.0,2011
331,84.0,54,3.0,119000.0,1970
332,78.0,64,2.0,106000.0,1960
333,112.0,8,3.0,223000.0,2016
334,91.0,57,3.0,116000.0,1967
335,88.0,71,3.0,91000.0,1953
336,98.0,20,3.0,188000.0,2004
337,111.0,24,3.0,180000.0,2000
338,80.0,61,2.0,97000.0,1963
339,89.0,1,3.0,184000.0,2023
340,138.0,36,4.0,205000.0,1988
341,105.0,2,3.0,238000.0,2022
342,90.0,18,3.0,193000.0,2006
343,136.0,11,4.0,248000.0,2013
344,106.0,50,3.0,142000.0,1974
345,98.0,6,3.0,201000.0,2018
346,92.0,67,3.0,109000.0,1957
347,156.0,61,5.0,163000.0,1963
348,154.0,49,5.0,189000.0,1975
349,106.0,31,3.0,170000.0,1993
350,96.0,19,3.0,190000.0,2005
351,128.0,6,4.0,237000.0,2018
352,93.0,13,3.0,190000.0,2011
353,136.0,62,4.0,145000.0,1962
354,121.0,74,4.0,113000.0,1950
355,111.0,63,3.0,134000.0,1961
356,119.0,49,4.0,171000.0,1975
357,102.0,18,3.0,188000.0,2006
358,110.0,39,3.0,154000.0,1985
359,97.0,2,3.0,213000.0,2022
360,78.0,51,2.0,113000.0,1973
361,94.0,1,3.0,211000.0,2023
362,90.0,13,3.0,177000.0,2011
363,65.0,50,2.0,114000.0,1974
364,126.0,16,4.0,236000.0,2008
365,92.0,18,3.0,167000.0,2006
366,102.0,7,3.0,217000.0,2017
367,122.0,64,4.0,132000.0,1960
368,118.0,67,4.0,127000.0,1957
369,102.0,44,3.0,147000.0,1980
370,69.0,64,2.0,90000.0,1960
371,97.0,8,3.0,205000.0,2016
372,94.0,36,3.0,164000.0,1988
373,72.0,36,2.0,123000.0,1988
374,108.0,3,3.0,230000.0,2021
375,83.0,53,3.0,114000.0,1971
376,130.0,11,4.0,258000.0,2013
377,88.0,13,3.0,193000.0,2011
378,116.0,36,4.0,183000.0,1988
379,99.0,58,3.0,123000.0,1966
380,107.0,9,3.0,228000.0,2015
381,110.0,68,3.0,118000.0,1956
382,73.0,61,2.0,95000.0,1963
383,99.0,59,3.0,122000.0,1965
384,115.0,64,3.0,128000.0,1960
385,103.0,12,3.0,210000.0,2012
386,126.0,47,4.0,177000.0,1977
387,107.0,24,3.0,184000.0,2000
388,93.0,29,3.0,169000.0,1995
389,89.0,66,3.0,111000.0,1958
390,115.0,33,3.0,190000.0,1991
391,99.0,59,3.0,121000.0,1965
392,124.0,28,4.0,196000.0,1996
393,112.0,7,3.0,235000.0,2017
394,134.0,60,4.0,148000.0,1964
395,122.0,58,4.0,144000.0,1966
396,109.0,69,3.0,122000.0,1955
397,97.0,25,3.0,175000.0,1999
398,156.0,60,5.0,172000.0,1964
399,78.0,22,2.0,159000.0,2002
400,121.0,72,4.0,122000.0,1952
401,94.0,1,3.0,207000.0,2023
402,83.0,70,3.0,98000.0,1954
403,119.0,41,4.0,172000.0,1983
404,101.0,32,3.0,165000.0,1992
405,154.0,34,5.0,233000.0,1990
406,93.0,39,3.0,148000.0,1985
407,94.0,11,3.0,215000.0,2013
408,104.0,45,3.0,149000.0,1979
409,92.0,42,3.0,152000.0,1982
410,118.0,58,4.0,138000.0,1966
411,104.0,17,3.0,193000.0,2007
412,92.0,49,3.0,123000.0,1975
413,80.0,23,2.0,164000.0,2001
414,126.0,72,4.0,118000.0,1952
415,91.0,35,3.0,149000.0,1989
416,149.0,5,5.0,298000.0,2019
417,121.0,6,4.0,242000.0,2018
418,90.0,68,3.0,98000.0,1956
419,83.0,36,3.0,137000.0,1988
420,115.0,50,3.0,154000.0,1974
421,117.0,48,4.0,158000.0,1976
422,86.0,46,3.0,138000.0,1978
423,110.0,2,3.0,239000.0,2022
424,87.0,68,3.0,100000.0,1956
425,113.0,27,3.0,198000.0,1997
426,80.0,32,2.0,148000.0,1992
427,99.0,9,3.0,196000.0,2015
428,62.0,11,2.0,147000.0,2013
429,100.0,66,3.0,112000.0,1958
430,95.0,74,3.0,98000.0,1950
431,111.0,47,3.0,146000.0,1977
432,89.0,48,3.0,130000.0,1976
433,96.0,30,3.0,163000.0,1994
434,56.0,74,2.0,67000.0,1950
435,81.0,67,2.0,99000.0,1957
436,119.0,62,4.0,134000.0,1962
437,166.0,45,5.0,205000.0,1979
438,115.0,59,3.0,131000.0,1965
439,133.0,14,4.0,251000.0,2010
440,91.0,28,3.0,166000.0,1996
441,104.0,56,3.0,139000.0,1968
442,106.0,15,3.0,208000.0,2009
443,126.0,25,4.0,208000.0,1999
444,124.0,39,4.0,186000.0,1985
445,96.0,14,3.0,188000.0,2010
446,109.0,60,3.0,128000.0,1964
447,85.0,42,3.0,139000.0,1982
448,106.0,38,3.0,172000.0,1986
449,95.0,67,3.0,107000.0,1957
450,93.0,49,3.0,130000.0,1975
451,83.0,28,3.0,146000.0,1996
452,134.0,53,4.0,167000.0,1971
453,63.0,31,2.0,122000.0,1993
454,142.0,44,4.0,196000.0,1980
455,116.0,14,4.0,219000.0,2010
456,132.0,22,4.0,212000.0,2002
457,102.0,16,3.0,204000.0,2008
458,89.0,71,3.0,98000.0,1953
459,72.0,48,2.0,123000.0,1976
460,109.0,26,3.0,181000.0,1998
461,108.0,36,3.0,167000.0,1988
462,110.0,14,3.0,219000.0,2010
463,101.0,58,3.0,129000.0,1966
464,124.0,6,4.0,266000.0,2018
465,118.0,72,4.0,116000.0,1952
466,94.0,55,3.0,126000.0,1969
467,92.0,3,3.0,215000.0,2021
468,79.0,49,2.0,122000.0,1975
469,124.0,46,4.0,163000.0,1978
470,96.0,29,3.0,172000.0,1995
471,149.0,58,5.0,174000.0,1966
472,93.0,72,3.0,101000.0,1952
473,100.0,38,3.0,171000.0,1986
474,86.0,54,3.0,117000.0,1970
475,135.0,18,4.0,240000.0,2006
476,119.0,62,4.0,138000.0,1962
477,81.0,9,2.0,186000.0,2015
478,117.0,9,4.0,230000.0,2015
479,91.0,53,3.0,129000.0,1971
480,75.0,68,2.0,90000.0,1956
481,122.0,35,4.0,191000.0,1989
482,107.0,44,3.0,158000.0,1980
483,121.0,20,4.0,208000.0,2004
484,109.0,70,3.0,108000.0,1954
485,125.0,45,4.0,173000.0,1979
486,93.0,48,3.0,137000.0,1976
487,100.0,62,3.0,118000.0,1962
488,92.0,8,3.0,193000.0,2016
489,106.0,39,3.0,167000.0,1985
490,66.0,24,2.0,153000.0,2000
491,85.0,13,3.0,175000.0,2011
492,100.0,10,3.0,196000.0,2014
493,97.0,2,3.0,225000.0,2022
494,61.0,16,2.0,139000.0,2008
495,110.0,19,3.0,202000.0,2005
496,100.0,68,3.0,106000.0,1956
497,94.0,15,3.0,192000.0,2009
498,97.0,57,3.0,117000.0,1967
499,128.0,68,4.0,126000.0,1956
500,118.0,52,4.0,143000.0,1972
501,89.0,60,3.0,113000.0,1964
502,100.0,1,3.0,222000.0,2023
503,98.0,5,3.0,213000.0,2019
504,115.0,28,3.0,188000.0,1996
505,143.0,71,4.0,136000.0,1953
506,72.0,8,2.0,151000.0,2016
507,99.0,15,3.0,195000.0,2009
508,102.0,57,3.0,130000.0,1967
509,148.0,68,4.0,150000.0,1956
510,107.0,32,3.0,179000.0,1992
511,98.0,66,3.0,108000.0,1958
512,140.0,25,4.0,221000.0,1999
513,106.0,73,3.0,108000.0,1951
514,95.0,65,3.0,123000.0,1959
515,125.0,41,4.0,192000.0,1983
516,106.0,71,3.0,105000.0,1953
517,52.0,29,2.0,130000.0,1995
518,117.0,57,4.0,142000.0,1967
519,108.0,54,3.0,142000.0,1970
520,99.0,37,3.0,152000.0,1987
521,94.0,6,3.0,191000.0,2018
522,135.0,4,4.0,271000.0,2020
523,88.0,60,3.0,116000.0,1964
524,88.0,57,3.0,125000.0,1967
525,109.0,12,3.0,210000.0,2012
526,137.0,3,4.0,264000.0,2021
527,97.0,41,3.0,150000.0,1983
528,109.0,34,3.0,161000.0,1990
529,126.0,51,4.0,163000.0,1973
530,134.0,36,4.0,194000.0,1988
531,138.0,48,4.0,176000.0,1976
532,92.0,34,3.0,157000.0,1990
533,88.0,33,3.0,148000.0,1991
534,104.0,70,3.0,110000.0,1954
535,80.0,39,2.0,137000.0,1985
536,105.0,7,3.0,215000.0,2017
537,151.0,66,5.0,144000.0,1958
538,122.0,31,4.0,209000.0,1993
539,103.0,30,3.0,173000.0,1994
540,94.0,7,3.0,198000.0,2017
541,106.0,10,3.0,220000.0,2014
542,106.0,63,3.0,126000.0,1961
543,96.0,10,3.0,205000.0,2014
544,146.0,5,4.0,274000.0,2019
545,126.0,28,4.0,202000.0,1996
546,92.0,20,3.0,164000.0,2004
547,103.0,30,3.0,195000.0,1994
548,110.0,3,3.0,232000.0,2021
549,107.0,52,3.0,137000.0,1972
550,118.0,10,4.0,236000.0,2014
551,105.0,53,3.0,133000.0,1971
552,95.0,28,3.0,165000.0,1996
553,107.0,34,3.0,164000.0,1990
554,74.0,11,2.0,163000.0,2013
555,100.0,55,3.0,145000.0,1969
556,109.0,49,3.0,152000.0,1975
557,102.0,10,3.0,216000.0,2014
558,120.0,24,4.0,212000.0,2000
559,131.0,60,4.0,150000.0,1964
560,80.0,63,2.0,95000.0,1961
561,138.0,23,4.0,232000.0,2001
562,101.0,36,3.0,168000.0,1988
563,99.0,17,3.0,195000.0,2007
564,154.0,44,5.0,204000.0,1980
565,147.0,10,4.0,260000.0,2014
566,112.0,22,3.0,204000.0,2002
567,107.0,35,3.0,167000.0,1989
568,111.0,63,3.0,128000.0,1961
569,95.0,6,3.0,213000.0,2018
570,111.0,9,3.0,235000.0,2015
571,111.0,22,3.0,192000.0,2002
572,106.0,45,3.0,159000.0,1979
573,128.0,20,4.0,220000.0,2004
574,107.0,19,3.0,187000.0,2005
575,87.0,64,3.0,114000.0,1960
576,89.0,27,3.0,161000.0,1997
577,110.0,33,3.0,175000.0,1991
578,124.0,64,4.0,134000.0,1960
579,100.0,19,3.0,187000.0,2005
580,114.0,54,3.0,143000.0,1970
581,74.0,60,2.0,104000.0,1964
582,109.0,73,3.0,107000.0,1951
583,90.0,12,3.0,197000.0,2012
584,111.0,3,3.0,229000.0,2021
585,97.0,53,3.0,129000.0,1971
586,105.0,69,3.0,108000.0,1955
587,117.0,16,4.0,212000.0,2008
588,90.0,50,3.0,124000.0,1974
589,117.0,69,4.0,122000.0,1955
590,74.0,74,2.0,82000.0,1950
591,117.0,70,4.0,123000.0,1954
592,104.0,30,3.0,183000.0,1994
593,101.0,1,3.0,222000.0,2023
594,116.0,13,4.0,223000.0,2011
595,88.0,53,3.0,125000.0,1971
596,101.0,35,3.0,165000.0,1989
597,105.0,62,3.0,120000.0,1962
598,95.0,20,3.0,177000.0,2004
599,104.0,73,3.0,108000.0,1951
600,112.0,4,3.0,234000.0,2020
601,63.0,49,2.0,109000.0,1975
602,114.0,27,3.0,195000.0,1997
603,114.0,18,3.0,209000.0,2006
604,78.0,60,2.0,96000.0,1964
605,86.0,31,3.0,157000.0,1993
606,135.0,53,4.0,178000.0,1971
607,134.0,67,4.0,136000.0,1957
608,111.0,21,3.0,212000.0,2003
609,120.0,67,4.0,131000.0,1957
610,115.0,45,3.0,159000.0,1979
611,127.0,28,4.0,205000.0,1996
612,104.0,10,3.0,215000.0,2014
613,95.0,20,3.0,187000.0,2004
614,116.0,7,4.0,235000.0,2017
615,81.0,8,2.0,191000.0,2016
616,128.0,2,4.0,257000.0,2022
617,112.0,55,3.0,135000.0,1969
618,117.0,26,4.0,201000.0,1998
619,126.0,61,4.0,137000.0,1963
620,125.0,52,4.0,163000.0,1972
621,94.0,59,3.0,112000.0,1965
622,80.0,72,2.0,93000.0,1952
623,109.0,11,3.0,201000.0,2013
624,100.0,43,3.0,135000.0,1981
625,87.0,38,3.0,149000.0,1986
626,94.0,13,3.0,201000.0,2011
627,120.0,27,4.0,198000.0,1997
628,104.0,23,3.0,191000.0,2001
629,121.0,60,4.0,134000.0,1964
630,87.0,20,3.0,167000.0,2004
631,106.0,27,3.0,187000.0,1997
632,94.0,41,3.0,156000.0,1983
633,96.0,12,3.0,197000.0,2012
634,93.0,56,3.0,119000.0,1968
635,128.0,9,4.0,252000.0,2015
636,76.0,9,2.0,176000.0,2015
637,97.0,17,3.0,209000.0,2007
638,101.0,64,3.0,113000.0,1960
639,112.0,7,3.0,234000.0,2017
640,70.0,9,2.0,163000.0,2015
641,106.0,55,3.0,137000.0,1969
642,140.0,73,4.0,132000.0,1951
643,85.0,21,3.0,186000.0,2003
644,109.0,35,3.0,178000.0,1989
645,130.0,31,4.0,206000.0,1993
646,106.0,21,3.0,197000.0,2003
647,132.0,38,4.0,183000.0,1986
648,120.0,38,4.0,184000.0,1986
649,91.0,45,3.0,139000.0,1979
650,85.0,64,3.0,98000.0,1960
651,126.0,34,4.0,205000.0,1990
652,119.0,60,4.0,145000.0,1964
653,94.0,47,3.0,146000.0,1977
654,88.0,32,3.0,152000.0,1992
655,104.0,49,3.0,147000.0,1975
656,114.0,47,3.0,163000.0,1977
657,85.0,39,3.0,136000.0,1985
658,100.0,27,3.0,179000.0,1997
659,136.0,4,4.0,262000.0,2020
660,120.0,61,4.0,138000.0,1963
661,85.0,36,3.0,150000.0,1988
662,104.0,25,3.0,184000.0,1999
663,109.0,25,3.0,184000.0,1999
664,87.0,14,3.0,184000.0,2010
665,111.0,49,3.0,156000.0,1975
666,70.0,21,2.0,147000.0,2003
667,140.0,43,4.0,190000.0,1981
668,103.0,5,3.0,222000.0,2019
669,92.0,56,3.0,132000.0,1968
670,109.0,42,3.0,163000.0,1982
671,115.0,63,3.0,120000.0,1961
672,95.0,54,3.0,137000.0,1970
673,100.0,33,3.0,171000.0,1991
674,103.0,52,3.0,138000.0,1972
675,103.0,9,3.0,211000.0,2015
676,81.0,58,2.0,117000.0,1966
677,113.0,16,3.0,215000.0,2008
678,67.0,31,2.0,122000.0,1993
679,109.0,40,3.0,161000.0,1984
680,120.0,35,4.0,182000.0,1989
681,79.0,34,2.0,134000.0,1990
682,134.0,8,4.0,254000.0,2016
683,96.0,74,3.0,94000.0,1950
684,105.0,12,3.0,218000.0,2012
685,71.0,26,2.0,127000.0,1998
686,125.0,13,4.0,237000.0,2011
687,88.0,25,3.0,167000.0,1999
688,113.0,36,3.0,180000.0,1988
689,144.0,1,4.0,289000.0,2023
690,137.0,18,4.0,241000.0,2006
691,113.0,67,3.0,123000.0,1957
692,88.0,72,3.0,90000.0,1952
693,93.0,31,3.0,170000.0,1993
694,141.0,51,4.0,183000.0,1973
695,94.0,42,3.0,139000.0,1982
696,107.0,49,3.0,150000.0,1975
697,126.0,29,4.0,204000.0,1995
698,135.0,51,4.0,182000.0,1973
