"project_id","taskname","costo","ngg_worked","n_employee"
8249,"INTERIOR DESIGNING",18963.0,38.7,3
8339,"INTERIOR DESIGNING",19992.0,40.8,3
8345,"INTERIOR DESIGNING",19992.0,40.8,3
8531,"INTERIOR DESIGNING",21021.0,42.9,3
8537,"INTERIOR DESIGNING",21021.0,42.9,3
8915,"INTERIOR DESIGNING",22050.0,45.0,3
8921,"INTERIOR DESIGNING",21756.0,44.4,3
9683,"INTERIOR DESIGNING",23079.0,47.1,3
11219,"INTERIOR DESIGNING",24108.0,49.2,3
14291,"INTERIOR DESIGNING",15435.0,31.5,3
14297,"INTERIOR DESIGNING",15876.0,32.4,3
14303,"INTERIOR DESIGNING",16905.0,34.5,3
14315,"INTERIOR DESIGNING",17934.0,36.6,3
14339,"INTERIOR DESIGNING",18963.0,38.7,3
14387,"INTERIOR DESIGNING",19992.0,40.8,3
14393,"INTERIOR DESIGNING",19992.0,40.8,3
14483,"INTERIOR DESIGNING",21021.0,42.9,3
14489,"INTERIOR DESIGNING",21021.0,42.9,3
14495,"INTERIOR DESIGNING",22050.0,45.0,3
14675,"INTERIOR DESIGNING",22050.0,45.0,3
14681,"INTERIOR DESIGNING",22050.0,45.0,3
14687,"INTERIOR DESIGNING",22785.0,46.5,3
15059,"INTERIOR DESIGNING",23079.0,47.1,3
15065,"INTERIOR DESIGNING",22785.0,46.5,3
15071,"INTERIOR DESIGNING",23814.0,48.6,3
15827,"INTERIOR DESIGNING",24108.0,49.2,3
15833,"INTERIOR DESIGNING",23814.0,48.6,3
15839,"INTERIOR DESIGNING",24843.0,50.7,3
17363,"INTERIOR DESIGNING",25137.0,51.3,3
17369,"INTERIOR DESIGNING",24843.0,50.7,3
20435,"INTERIOR DESIGNING",26166.0,53.4,3
26579,"INTERIOR DESIGNING",16464.0,33.6,3
26585,"INTERIOR DESIGNING",16905.0,34.5,3
26591,"INTERIOR DESIGNING",17934.0,36.6,3
26603,"INTERIOR DESIGNING",18963.0,38.7,3
26627,"INTERIOR DESIGNING",19992.0,40.8,3
26675,"INTERIOR DESIGNING",21021.0,42.9,3
26681,"INTERIOR DESIGNING",21021.0,42.9,3
26771,"INTERIOR DESIGNING",22050.0,45.0,3
26777,"INTERIOR DESIGNING",22050.0,45.0,3
26783,"INTERIOR DESIGNING",23079.0,47.1,3
26963,"INTERIOR DESIGNING",23079.0,47.1,3
26969,"INTERIOR DESIGNING",23079.0,47.1,3
26975,"INTERIOR DESIGNING",23814.0,48.6,3
26987,"INTERIOR DESIGNING",24843.0,50.7,3
27347,"INTERIOR DESIGNING",24108.0,49.2,3
27353,"INTERIOR DESIGNING",23814.0,48.6,3
27359,"INTERIOR DESIGNING",24843.0,50.7,3
27371,"INTERIOR DESIGNING",25872.0,52.8,3
27395,"INTERIOR DESIGNING",26901.0,54.9,3
28115,"INTERIOR DESIGNING",25137.0,51.3,3
28121,"INTERIOR DESIGNING",24843.0,50.7,3
28127,"INTERIOR DESIGNING",25872.0,52.8,3
28139,"INTERIOR DESIGNING",26901.0,54.9,3
29651,"INTERIOR DESIGNING",26166.0,53.4,3
29657,"INTERIOR DESIGNING",25872.0,52.8,3
29663,"INTERIOR DESIGNING",26901.0,54.9,3
29675,"INTERIOR DESIGNING",27930.0,57.0,3
32723,"INTERIOR DESIGNING",27195.0,55.5,3
32729,"INTERIOR DESIGNING",26901.0,54.9,3
32735,"INTERIOR DESIGNING",27930.0,57.0,3
38867,"INTERIOR DESIGNING",28224.0,57.6,3
51155,"INTERIOR DESIGNING",17493.0,35.7,3
51161,"INTERIOR DESIGNING",17934.0,36.6,3
51167,"INTERIOR DESIGNING",18963.0,38.7,3
51179,"INTERIOR DESIGNING",19992.0,40.8,3
51203,"INTERIOR DESIGNING",21021.0,42.9,3
51251,"INTERIOR DESIGNING",22050.0,45.0,3
51257,"INTERIOR DESIGNING",22050.0,45.0,3
51347,"INTERIOR DESIGNING",23079.0,47.1,3
51353,"INTERIOR DESIGNING",23079.0,47.1,3
51359,"INTERIOR DESIGNING",24108.0,49.2,3
51539,"INTERIOR DESIGNING",24108.0,49.2,3
51545,"INTERIOR DESIGNING",24108.0,49.2,3
51551,"INTERIOR DESIGNING",24843.0,50.7,3
51563,"INTERIOR DESIGNING",25872.0,52.8,3
51923,"INTERIOR DESIGNING",25137.0,51.3,3
51929,"INTERIOR DESIGNING",24843.0,50.7,3
51935,"INTERIOR DESIGNING",25872.0,52.8,3
51947,"INTERIOR DESIGNING",26901.0,54.9,3
51971,"INTERIOR DESIGNING",27930.0,57.0,3
52019,"INTERIOR DESIGNING",28959.0,59.1,3
52691,"INTERIOR DESIGNING",26166.0,53.4,3
52697,"INTERIOR DESIGNING",25872.0,52.8,3
52703,"INTERIOR DESIGNING",26901.0,54.9,3
52715,"INTERIOR DESIGNING",27930.0,57.0,3
52739,"INTERIOR DESIGNING",28959.0,59.1,3
52787,"INTERIOR DESIGNING",29988.0,61.2,3
52883,"INTERIOR DESIGNING",31017.0,63.3,3
54227,"INTERIOR DESIGNING",27195.0,55.5,3
54233,"INTERIOR DESIGNING",26901.0,54.9,3
54239,"INTERIOR DESIGNING",27930.0,57.0,3
54251,"INTERIOR DESIGNING",28959.0,59.1,3
54275,"INTERIOR DESIGNING",29988.0,61.2,3
57299,"INTERIOR DESIGNING",28224.0,57.6,3
57305,"INTERIOR DESIGNING",27930.0,57.0,3
57311,"INTERIOR DESIGNING",28959.0,59.1,3
57323,"INTERIOR DESIGNING",29988.0,61.2,3
57347,"INTERIOR DESIGNING",31017.0,63.3,3
63443,"INTERIOR DESIGNING",29253.0,59.7,3
63449,"INTERIOR DESIGNING",28959.0,59.1,3
63455,"INTERIOR DESIGNING",29988.0,61.2,3
75731,"INTERIOR DESIGNING",30282.0,61.8,3
75737,"INTERIOR DESIGNING",29988.0,61.2,3
100307,"INTERIOR DESIGNING",18522.0,37.8,3
100313,"INTERIOR DESIGNING",18963.0,38.7,3
100319,"INTERIOR DESIGNING",19992.0,40.8,3
100331,"INTERIOR DESIGNING",21021.0,42.9,3
100355,"INTERIOR DESIGNING",22050.0,45.0,3
100403,"INTERIOR DESIGNING",23079.0,47.1,3
100409,"INTERIOR DESIGNING",23079.0,47.1,3
100499,"INTERIOR DESIGNING",24108.0,49.2,3
100505,"INTERIOR DESIGNING",24108.0,49.2,3
100511,"INTERIOR DESIGNING",25137.0,51.3,3
100691,"INTERIOR DESIGNING",25137.0,51.3,3
100697,"INTERIOR DESIGNING",25137.0,51.3,3
100703,"INTERIOR DESIGNING",25872.0,52.8,3
100715,"INTERIOR DESIGNING",26901.0,54.9,3
101075,"INTERIOR DESIGNING",26166.0,53.4,3
101081,"INTERIOR DESIGNING",25872.0,52.8,3
101087,"INTERIOR DESIGNING",26901.0,54.9,3
101099,"INTERIOR DESIGNING",27930.0,57.0,3
101123,"INTERIOR DESIGNING",28959.0,59.1,3
101171,"INTERIOR DESIGNING",29988.0,61.2,3
101843,"INTERIOR DESIGNING",27195.0,55.5,3
101849,"INTERIOR DESIGNING",26901.0,54.9,3
101855,"INTERIOR DESIGNING",27930.0,57.0,3
101867,"INTERIOR DESIGNING",28959.0,59.1,3
101891,"INTERIOR DESIGNING",29988.0,61.2,3
101939,"INTERIOR DESIGNING",31017.0,63.3,3
102035,"INTERIOR DESIGNING",32046.0,65.4,3
102227,"INTERIOR DESIGNING",33075.0,67.5,3
103379,"INTERIOR DESIGNING",28224.0,57.6,3
103385,"INTERIOR DESIGNING",27930.0,57.0,3
103391,"INTERIOR DESIGNING",28959.0,59.1,3
103403,"INTERIOR DESIGNING",29988.0,61.2,3
103427,"INTERIOR DESIGNING",31017.0,63.3,3
103475,"INTERIOR DESIGNING",32046.0,65.4,3
103571,"INTERIOR DESIGNING",33075.0,67.5,3
103763,"INTERIOR DESIGNING",34104.0,69.6,3
104147,"INTERIOR DESIGNING",35133.0,71.7,3
106451,"INTERIOR DESIGNING",29253.0,59.7,3
106457,"INTERIOR DESIGNING",28959.0,59.1,3
106463,"INTERIOR DESIGNING",29988.0,61.2,3
106475,"INTERIOR DESIGNING",31017.0,63.3,3
106499,"INTERIOR DESIGNING",32046.0,65.4,3
106547,"INTERIOR DESIGNING",33075.0,67.5,3
106553,"INTERIOR DESIGNING",33663.0,68.7,3
106643,"INTERIOR DESIGNING",34104.0,69.6,3
106649,"INTERIOR DESIGNING",34692.0,70.8,3
112595,"INTERIOR DESIGNING",30282.0,61.8,3
112601,"INTERIOR DESIGNING",29988.0,61.2,3
112607,"INTERIOR DESIGNING",31017.0,63.3,3
112619,"INTERIOR DESIGNING",32046.0,65.4,3
112643,"INTERIOR DESIGNING",33075.0,67.5,3
112691,"INTERIOR DESIGNING",34104.0,69.6,3
112697,"INTERIOR DESIGNING",34692.0,70.8,3
124883,"INTERIOR DESIGNING",31311.0,63.9,3
124889,"INTERIOR DESIGNING",31017.0,63.3,3
124895,"INTERIOR DESIGNING",32046.0,65.4,3
124907,"INTERIOR DESIGNING",33075.0,67.5,3
124931,"INTERIOR DESIGNING",34104.0,69.6,3
124979,"INTERIOR DESIGNING",35133.0,71.7,3
149459,"INTERIOR DESIGNING",32340.0,66.0,3
149465,"INTERIOR DESIGNING",32046.0,65.4,3
149471,"INTERIOR DESIGNING",33075.0,67.5,3
2004,"GETTING INFO",3074.0,9.3,2
2010,"GETTING INFO",2974.0,9.0,2
2016,"GETTING INFO",3669.0,11.1,2
2028,"GETTING INFO",4363.0,13.2,2
2052,"GETTING INFO",5057.0,15.3,2
2100,"GETTING INFO",5751.0,17.4,2
2196,"GETTING INFO",6445.0,19.5,2
2202,"GETTING INFO",6445.0,19.5,2
2208,"GETTING INFO",7139.0,21.6,2
2388,"GETTING INFO",7139.0,21.6,2
2394,"GETTING INFO",7139.0,21.6,2
2400,"GETTING INFO",7833.0,23.7,2
2772,"GETTING INFO",7833.0,23.7,2
2778,"GETTING INFO",7833.0,23.7,2
2784,"GETTING INFO",8527.0,25.8,2
2796,"GETTING INFO",9221.0,27.9,2
2820,"GETTING INFO",9915.0,30.0,2
3540,"GETTING INFO",8527.0,25.8,2
3546,"GETTING INFO",8527.0,25.8,2
3552,"GETTING INFO",9221.0,27.9,2
3564,"GETTING INFO",9915.0,30.0,2
3588,"GETTING INFO",10609.0,32.1,2
3636,"GETTING INFO",11303.0,34.2,2
3732,"GETTING INFO",11997.0,36.3,2
5076,"GETTING INFO",9221.0,27.9,2
5082,"GETTING INFO",9221.0,27.9,2
5088,"GETTING INFO",9915.0,30.0,2
5100,"GETTING INFO",10609.0,32.1,2
5124,"GETTING INFO",11303.0,34.2,2
5172,"GETTING INFO",11997.0,36.3,2
5268,"GETTING INFO",12691.0,38.4,2
5460,"GETTING INFO",13385.0,40.5,2
5844,"GETTING INFO",14079.0,42.6,2
8148,"GETTING INFO",9915.0,30.0,2
8154,"GETTING INFO",9915.0,30.0,2
8160,"GETTING INFO",10609.0,32.1,2
8172,"GETTING INFO",11303.0,34.2,2
8196,"GETTING INFO",11997.0,36.3,2
8244,"GETTING INFO",12691.0,38.4,2
8340,"GETTING INFO",13385.0,40.5,2
8346,"GETTING INFO",13385.0,40.5,2
8532,"GETTING INFO",14079.0,42.6,2
8538,"GETTING INFO",14079.0,42.6,2
8916,"GETTING INFO",14773.0,44.7,2
9684,"GETTING INFO",15467.0,46.8,2
14292,"GETTING INFO",10609.0,32.1,2
14298,"GETTING INFO",10609.0,32.1,2
14304,"GETTING INFO",11303.0,34.2,2
14316,"GETTING INFO",11997.0,36.3,2
14340,"GETTING INFO",12691.0,38.4,2
14388,"GETTING INFO",13385.0,40.5,2
14484,"GETTING INFO",14079.0,42.6,2
14490,"GETTING INFO",14079.0,42.6,2
14496,"GETTING INFO",14773.0,44.7,2
14676,"GETTING INFO",14773.0,44.7,2
14682,"GETTING INFO",14773.0,44.7,2
14688,"GETTING INFO",15368.0,46.5,2
15060,"GETTING INFO",15467.0,46.8,2
15066,"GETTING INFO",15368.0,46.5,2
15072,"GETTING INFO",16062.0,48.6,2
15828,"GETTING INFO",16161.0,48.9,2
15834,"GETTING INFO",16062.0,48.6,2
17364,"GETTING INFO",16856.0,51.0,2
17370,"GETTING INFO",16756.0,50.7,2
20436,"GETTING INFO",17550.0,53.1,2
26580,"GETTING INFO",11303.0,34.2,2
26586,"GETTING INFO",11303.0,34.2,2
26592,"GETTING INFO",11997.0,36.3,2
26604,"GETTING INFO",12691.0,38.4,2
26628,"GETTING INFO",13385.0,40.5,2
26676,"GETTING INFO",14079.0,42.6,2
26772,"GETTING INFO",14773.0,44.7,2
26778,"GETTING INFO",14773.0,44.7,2
26784,"GETTING INFO",15467.0,46.8,2
26964,"GETTING INFO",15467.0,46.8,2
26970,"GETTING INFO",15467.0,46.8,2
26976,"GETTING INFO",16062.0,48.6,2
27348,"GETTING INFO",16161.0,48.9,2
27354,"GETTING INFO",16062.0,48.6,2
27360,"GETTING INFO",16756.0,50.7,2
27372,"GETTING INFO",17450.0,52.8,2
27396,"GETTING INFO",18144.0,54.9,2
28116,"GETTING INFO",16856.0,51.0,2
28122,"GETTING INFO",16756.0,50.7,2
28128,"GETTING INFO",17450.0,52.8,2
28140,"GETTING INFO",18144.0,54.9,2
29652,"GETTING INFO",17550.0,53.1,2
29658,"GETTING INFO",17450.0,52.8,2
29664,"GETTING INFO",18144.0,54.9,2
32724,"GETTING INFO",18244.0,55.2,2
32730,"GETTING INFO",18144.0,54.9,2
38868,"GETTING INFO",18739.0,56.7,2
51156,"GETTING INFO",11997.0,36.3,2
51162,"GETTING INFO",11997.0,36.3,2
51168,"GETTING INFO",12691.0,38.4,2
51180,"GETTING INFO",13385.0,40.5,2
51204,"GETTING INFO",14079.0,42.6,2
51252,"GETTING INFO",14773.0,44.7,2
51348,"GETTING INFO",15467.0,46.8,2
51354,"GETTING INFO",15467.0,46.8,2
51360,"GETTING INFO",16161.0,48.9,2
51540,"GETTING INFO",16161.0,48.9,2
51546,"GETTING INFO",16161.0,48.9,2
51552,"GETTING INFO",16756.0,50.7,2
51924,"GETTING INFO",16856.0,51.0,2
51930,"GETTING INFO",16756.0,50.7,2
51936,"GETTING INFO",17450.0,52.8,2
51948,"GETTING INFO",18144.0,54.9,2
51972,"GETTING INFO",18838.0,57.0,2
52692,"GETTING INFO",17550.0,53.1,2
52698,"GETTING INFO",17450.0,52.8,2
52704,"GETTING INFO",18144.0,54.9,2
52716,"GETTING INFO",18838.0,57.0,2
52740,"GETTING INFO",19830.0,60.0,2
52788,"GETTING INFO",20524.0,62.1,2
52884,"GETTING INFO",21218.0,64.2,2
54228,"GETTING INFO",18244.0,55.2,2
54234,"GETTING INFO",18144.0,54.9,2
54240,"GETTING INFO",18838.0,57.0,2
54252,"GETTING INFO",19830.0,60.0,2
54276,"GETTING INFO",20524.0,62.1,2
57300,"GETTING INFO",18938.0,57.3,2
57306,"GETTING INFO",18838.0,57.0,2
57312,"GETTING INFO",19830.0,60.0,2
57324,"GETTING INFO",20524.0,62.1,2
57348,"GETTING INFO",21218.0,64.2,2
63444,"GETTING INFO",19433.0,58.8,2
63450,"GETTING INFO",19830.0,60.0,2
63456,"GETTING INFO",20524.0,62.1,2
75732,"GETTING INFO",20127.0,60.9,2
75738,"GETTING INFO",20524.0,62.1,2
100308,"GETTING INFO",12691.0,38.4,2
100314,"GETTING INFO",12691.0,38.4,2
100320,"GETTING INFO",13385.0,40.5,2
100332,"GETTING INFO",14079.0,42.6,2
100356,"GETTING INFO",14773.0,44.7,2
100404,"GETTING INFO",15467.0,46.8,2
100500,"GETTING INFO",16161.0,48.9,2
100506,"GETTING INFO",16161.0,48.9,2
100512,"GETTING INFO",16856.0,51.0,2
100692,"GETTING INFO",16856.0,51.0,2
100698,"GETTING INFO",16856.0,51.0,2
100704,"GETTING INFO",17450.0,52.8,2
101076,"GETTING INFO",17550.0,53.1,2
101082,"GETTING INFO",17450.0,52.8,2
101088,"GETTING INFO",18144.0,54.9,2
101100,"GETTING INFO",18838.0,57.0,2
101124,"GETTING INFO",19533.0,59.1,2
101844,"GETTING INFO",18244.0,55.2,2
101850,"GETTING INFO",18144.0,54.9,2
101856,"GETTING INFO",18838.0,57.0,2
101868,"GETTING INFO",19533.0,59.1,2
101892,"GETTING INFO",20524.0,62.1,2
101940,"GETTING INFO",21218.0,64.2,2
102036,"GETTING INFO",21912.0,66.3,2
103380,"GETTING INFO",18938.0,57.3,2
103386,"GETTING INFO",18838.0,57.0,2
103392,"GETTING INFO",19533.0,59.1,2
103404,"GETTING INFO",20524.0,62.1,2
103428,"GETTING INFO",21218.0,64.2,2
103476,"GETTING INFO",21912.0,66.3,2
103572,"GETTING INFO",22606.0,68.4,2
103764,"GETTING INFO",23300.0,70.5,2
104148,"GETTING INFO",23994.0,72.6,2
106452,"GETTING INFO",19632.0,59.4,2
106458,"GETTING INFO",19533.0,59.1,2
106464,"GETTING INFO",20524.0,62.1,2
106476,"GETTING INFO",21218.0,64.2,2
106500,"GETTING INFO",21912.0,66.3,2
106548,"GETTING INFO",22606.0,68.4,2
106644,"GETTING INFO",23300.0,70.5,2
112596,"GETTING INFO",20127.0,60.9,2
112602,"GETTING INFO",20524.0,62.1,2
112608,"GETTING INFO",21218.0,64.2,2
112620,"GETTING INFO",21912.0,66.3,2
112644,"GETTING INFO",22606.0,68.4,2
112692,"GETTING INFO",23300.0,70.5,2
124884,"GETTING INFO",20822.0,63.0,2
124890,"GETTING INFO",21218.0,64.2,2
124896,"GETTING INFO",21912.0,66.3,2
124908,"GETTING INFO",22606.0,68.4,2
124932,"GETTING INFO",23300.0,70.5,2
124980,"GETTING INFO",23994.0,72.6,2
149460,"GETTING INFO",21516.0,65.1,2
149466,"GETTING INFO",21912.0,66.3,2
149472,"GETTING INFO",22606.0,68.4,2
2005,"MANAGEMENT",30958.0,46.0,2
2011,"MANAGEMENT",30622.0,45.5,2
2017,"MANAGEMENT",32977.0,49.0,2
2029,"MANAGEMENT",35332.0,52.5,2
2053,"MANAGEMENT",37688.0,56.0,2
2101,"MANAGEMENT",40044.0,59.5,2
2197,"MANAGEMENT",42399.0,63.0,2
2389,"MANAGEMENT",44754.0,66.5,2
2395,"MANAGEMENT",44754.0,66.5,2
2773,"MANAGEMENT",47110.0,70.0,2
2779,"MANAGEMENT",47110.0,70.0,2
2785,"MANAGEMENT",49466.0,73.5,2
3541,"MANAGEMENT",49466.0,73.5,2
3547,"MANAGEMENT",49466.0,73.5,2
3553,"MANAGEMENT",51821.0,77.0,2
3565,"MANAGEMENT",54176.0,80.5,2
3589,"MANAGEMENT",56532.0,84.0,2
3637,"MANAGEMENT",58888.0,87.5,2
5077,"MANAGEMENT",51821.0,77.0,2
5083,"MANAGEMENT",51821.0,77.0,2
5089,"MANAGEMENT",54176.0,80.5,2
5101,"MANAGEMENT",56532.0,84.0,2
5125,"MANAGEMENT",58888.0,87.5,2
5173,"MANAGEMENT",61243.0,91.0,2
5269,"MANAGEMENT",63598.0,94.5,2
5461,"MANAGEMENT",65954.0,98.0,2
8149,"MANAGEMENT",54176.0,80.5,2
8155,"MANAGEMENT",54176.0,80.5,2
8161,"MANAGEMENT",56532.0,84.0,2
8173,"MANAGEMENT",58888.0,87.5,2
8197,"MANAGEMENT",61243.0,91.0,2
8245,"MANAGEMENT",63598.0,94.5,2
8341,"MANAGEMENT",65954.0,98.0,2
8533,"MANAGEMENT",68310.0,101.5,2
8539,"MANAGEMENT",67636.0,100.5,2
8917,"MANAGEMENT",70665.0,105.0,2
9685,"MANAGEMENT",73020.0,108.5,2
14293,"MANAGEMENT",56532.0,84.0,2
14299,"MANAGEMENT",56532.0,84.0,2
14305,"MANAGEMENT",58888.0,87.5,2
14317,"MANAGEMENT",61243.0,91.0,2
14341,"MANAGEMENT",63598.0,94.5,2
14389,"MANAGEMENT",65954.0,98.0,2
14485,"MANAGEMENT",68310.0,101.5,2
14677,"MANAGEMENT",70665.0,105.0,2
14683,"MANAGEMENT",69992.0,104.0,2
15061,"MANAGEMENT",73020.0,108.5,2
15067,"MANAGEMENT",72348.0,107.5,2
15829,"MANAGEMENT",75376.0,112.0,2
15835,"MANAGEMENT",74703.0,111.0,2
17365,"MANAGEMENT",77732.0,115.5,2
20437,"MANAGEMENT",80087.0,119.0,2
26581,"MANAGEMENT",58888.0,87.5,2
26587,"MANAGEMENT",58888.0,87.5,2
26593,"MANAGEMENT",61243.0,91.0,2
26605,"MANAGEMENT",63598.0,94.5,2
26629,"MANAGEMENT",65954.0,98.0,2
26677,"MANAGEMENT",68310.0,101.5,2
26773,"MANAGEMENT",70665.0,105.0,2
26965,"MANAGEMENT",73020.0,108.5,2
26971,"MANAGEMENT",72348.0,107.5,2
27349,"MANAGEMENT",75376.0,112.0,2
27355,"MANAGEMENT",74703.0,111.0,2
27361,"MANAGEMENT",77058.0,114.5,2
28117,"MANAGEMENT",77732.0,115.5,2
28123,"MANAGEMENT",77058.0,114.5,2
28129,"MANAGEMENT",79078.0,117.5,2
28141,"MANAGEMENT",81433.0,121.0,2
29653,"MANAGEMENT",80087.0,119.0,2
29659,"MANAGEMENT",79078.0,117.5,2
29665,"MANAGEMENT",81433.0,121.0,2
32725,"MANAGEMENT",82442.0,122.5,2
32731,"MANAGEMENT",81433.0,121.0,2
38869,"MANAGEMENT",84798.0,126.0,2
51157,"MANAGEMENT",61243.0,91.0,2
51163,"MANAGEMENT",61243.0,91.0,2
51169,"MANAGEMENT",63598.0,94.5,2
51181,"MANAGEMENT",65954.0,98.0,2
51205,"MANAGEMENT",68310.0,101.5,2
51253,"MANAGEMENT",70665.0,105.0,2
51349,"MANAGEMENT",73020.0,108.5,2
51541,"MANAGEMENT",75376.0,112.0,2
51547,"MANAGEMENT",74703.0,111.0,2
51925,"MANAGEMENT",77732.0,115.5,2
51931,"MANAGEMENT",77058.0,114.5,2
51937,"MANAGEMENT",79414.0,118.0,2
52693,"MANAGEMENT",80087.0,119.0,2
52699,"MANAGEMENT",79414.0,118.0,2
52705,"MANAGEMENT",81433.0,121.0,2
52717,"MANAGEMENT",83788.0,124.5,2
52741,"MANAGEMENT",86144.0,128.0,2
52789,"MANAGEMENT",88500.0,131.5,2
54229,"MANAGEMENT",82442.0,122.5,2
54235,"MANAGEMENT",81433.0,121.0,2
54241,"MANAGEMENT",83788.0,124.5,2
54253,"MANAGEMENT",86144.0,128.0,2
54277,"MANAGEMENT",88500.0,131.5,2
57301,"MANAGEMENT",84798.0,126.0,2
57307,"MANAGEMENT",83788.0,124.5,2
57313,"MANAGEMENT",86144.0,128.0,2
57325,"MANAGEMENT",88500.0,131.5,2
63445,"MANAGEMENT",87154.0,129.5,2
63451,"MANAGEMENT",86144.0,128.0,2
63457,"MANAGEMENT",88500.0,131.5,2
75733,"MANAGEMENT",89509.0,133.0,2
75739,"MANAGEMENT",88500.0,131.5,2
100309,"MANAGEMENT",63598.0,94.5,2
100315,"MANAGEMENT",63598.0,94.5,2
100321,"MANAGEMENT",65954.0,98.0,2
100333,"MANAGEMENT",68310.0,101.5,2
100357,"MANAGEMENT",70665.0,105.0,2
100405,"MANAGEMENT",73020.0,108.5,2
100501,"MANAGEMENT",75376.0,112.0,2
100693,"MANAGEMENT",77732.0,115.5,2
100699,"MANAGEMENT",77058.0,114.5,2
101077,"MANAGEMENT",80087.0,119.0,2
101083,"MANAGEMENT",79414.0,118.0,2
101089,"MANAGEMENT",81770.0,121.5,2
101845,"MANAGEMENT",82442.0,122.5,2
101851,"MANAGEMENT",81770.0,121.5,2
101857,"MANAGEMENT",83788.0,124.5,2
101869,"MANAGEMENT",86144.0,128.0,2
101893,"MANAGEMENT",88500.0,131.5,2
101941,"MANAGEMENT",90855.0,135.0,2
103381,"MANAGEMENT",84798.0,126.0,2
103387,"MANAGEMENT",83788.0,124.5,2
103393,"MANAGEMENT",86144.0,128.0,2
103405,"MANAGEMENT",88500.0,131.5,2
103429,"MANAGEMENT",90855.0,135.0,2
103477,"MANAGEMENT",94220.0,140.0,2
103573,"MANAGEMENT",96576.0,143.5,2
103765,"MANAGEMENT",98931.0,147.0,2
106453,"MANAGEMENT",87154.0,129.5,2
106459,"MANAGEMENT",86144.0,128.0,2
106465,"MANAGEMENT",88500.0,131.5,2
106477,"MANAGEMENT",90855.0,135.0,2
106501,"MANAGEMENT",94220.0,140.0,2
106549,"MANAGEMENT",96576.0,143.5,2
106645,"MANAGEMENT",98931.0,147.0,2
112597,"MANAGEMENT",89509.0,133.0,2
112603,"MANAGEMENT",88500.0,131.5,2
112609,"MANAGEMENT",90855.0,135.0,2
112621,"MANAGEMENT",94220.0,140.0,2
112645,"MANAGEMENT",96576.0,143.5,2
112693,"MANAGEMENT",98931.0,147.0,2
124885,"MANAGEMENT",91864.0,136.5,2
124891,"MANAGEMENT",90855.0,135.0,2
124897,"MANAGEMENT",94220.0,140.0,2
124909,"MANAGEMENT",96576.0,143.5,2
124933,"MANAGEMENT",98931.0,147.0,2
124981,"MANAGEMENT",101286.0,150.5,2
149461,"MANAGEMENT",93547.0,139.0,2
149467,"MANAGEMENT",94220.0,140.0,2
2001,"CREATING NEEDS",30155.0,71.4,3
2002,"ENTERING DATA",2101.0,5.4,3
2005,"DETAILED DOCUMENTING",4914.0,15.5,2
2007,"CREATING NEEDS",29648.0,70.2,3
2008,"ENTERING DATA",2101.0,5.4,3
