s,t,delta
1156,182,277
1538,183,382
1999,184,461
2480,185,481
2937,186,457
3328,187,391
3616,188,288
3771,189,155
3768,190,-3
3610,191,-158
3309,192,-301
2922,193,-387
2465,194,-457
1987,195,-478
1533,196,-454
1149,197,-384
877,198,-272
753,199,-124
769,200,16
928,201,159
1234,202,306
1635,203,401
2101,204,466
2578,205,477
3035,206,457
3411,207,376
3667,208,256
3783,209,116
3745,210,-38
3559,211,-186
3223,212,-336
2809,213,-414
2348,214,-461
1870,215,-478
1434,216,-436
1065,217,-369
831,218,-234
748,219,-83
796,220,48
995,221,199
1335,222,340
1746,223,411
2223,224,477
2694,225,471
3132,226,438
3490,227,358
3711,228,221
3789,229,78
3709,230,-80
3486,231,-223
3126,232,-360
2689,233,-437
2219,234,-470
1746,235,-473
1337,236,-409
996,237,-341
796,238,-200
748,239,-48
830,240,82
1064,241,234
1436,242,372
1875,243,439
2354,244,479
2817,245,463
3226,246,409
3563,247,337
3746,248,183
3783,249,37
3664,250,-119
3407,251,-257
3028,252,-379
2574,253,-454
2100,254,-474
1634,255,-466
1233,256,-401
930,257,-303
769,258,-161
752,259,-17
878,260,126
1149,261,271
1537,262,388
1993,263,456
2472,264,479
2932,265,460
3325,266,393
3616,267,291
3770,268,154
3768,269,-2
3610,270,-158
3313,271,-297
2918,272,-395
2462,273,-456
1982,274,-480
1530,275,-452
1145,276,-385
873,277,-272
753,278,-120
773,279,20
929,280,156
1239,281,310
1642,282,403
2110,283,468
2584,284,474
3042,285,458
3416,286,374
3670,287,254
3784,288,114
3743,289,-41
3555,290,-188
3218,291,-337
2805,292,-413
2341,293,-464
1863,294,-478
1427,295,-436
1061,296,-366
826,297,-235
748,298,-78
796,299,48
1000,300,204
1340,301,340
1760,302,420
2231,303,471
2705,304,474
3139,305,434
3496,306,357
3716,307,220
3788,308,72
3707,309,-81
3480,310,-227
3120,311,-360
2680,312,-440
2210,313,-470
1738,314,-472
1327,315,-411
991,316,-336
792,317,-199
748,318,-44
831,319,83
1069,320,238
1444,321,375
1883,322,439
2360,323,477
2826,324,466
3236,325,410
3568,326,332
3751,327,183
3782,328,31
3661,329,-121
3399,330,-262
3020,331,-379
2564,332,-456
2088,333,-476
1624,334,-464
1225,335,-399
924,336,-301
765,337,-159
753,338,-12
879,339,126
1156,340,277
1543,341,387
2004,342,461
2485,343,481
2942,344,457
3336,345,394
3624,346,288
3773,347,149
3766,348,-7
3604,349,-162
3302,350,-302
2910,351,-392
2450,352,-460
1972,353,-478
1521,354,-451
1136,355,-385
867,356,-269
750,357,-117
775,358,25
938,359,163
1249,360,311
1653,361,404
2122,362,469
2597,363,475
3052,364,455
3425,365,373
3676,366,251
3785,367,109
3739,368,-46
3547,369,-192
3209,370,-338
2793,371,-416
2329,372,-464
1852,373,-477
1418,374,-434
1059,375,-359
824,376,-235
746,377,-78
798,378,52
1008,379,210
1353,380,345
1771,381,418
2242,382,471
2716,383,474
3149,384,433
3503,385,354
3720,386,217
3789,387,69
3702,388,-87
3473,389,-229
3111,390,-362
2671,391,-440
2198,392,-473
1727,393,-471
1319,394,-408
983,395,-336
790,396,-193
747,397,-43
836,398,89
1080,399,244
1453,400,373
1895,401,442
2373,402,478
2841,403,468
3247,404,406
3574,405,327
3752,406,178
3783,407,31
3655,408,-128
3391,409,-264
3009,410,-382
2554,411,-455
2076,412,-478
1611,413,-465
1216,414,-395
917,415,-299
765,416,-152
754,417,-11
885,418,131
1164,419,279
1552,420,388
2018,421,466
2496,422,478
2953,423,457
3347,424,394
3629,425,282
3775,426,146
3765,427,-10
3598,428,-167
3293,429,-305
2899,430,-394
2440,431,-459
1962,432,-478
1514,433,-448
1129,434,-385
862,435,-267
749,436,-113
775,437,26
944,438,169
1258,439,314
1663,440,405
2129,441,466
2607,442,478
3059,443,452
3432,444,373
3681,445,249
3787,446,106
3738,447,-49
3541,448,-197
3200,449,-341
2777,450,-423
2316,451,-461
1842,452,-474
1407,453,-435
1051,454,-356
820,455,-231
746,456,-74
802,457,56
1009,458,207
1360,459,351
1782,460,422
2253,461,471
2725,462,472
3158,463,433
3510,464,352
3722,465,212
3790,466,68
3700,467,-90
3466,468,-234
3100,469,-366
2662,470,-438
2188,471,-474
1717,472,-471
1311,473,-406
978,474,-333
787,475,-191
748,476,-39
838,477,90
1087,478,249
1462,479,375
1905,480,443
2384,481,479
2850,482,466
3254,483,404
3577,484,323
3755,485,178
3781,486,26
3653,487,-128
3384,488,-269
3002,489,-382
2549,490,-453
2068,491,-481
1605,492,-463
1205,493,-400
910,494,-295
758,495,-152
754,496,-4
887,497,133
1171,498,284
1558,499,387
2024,500,466
2503,501,479
2962,502,459
3352,503,390
3633,504,281
3776,505,143
3764,506,-12
3596,507,-168
3288,508,-308
2893,509,-395
2432,510,-461
1954,511,-478
1507,512,-447
1122,513,-385
860,514,-262
749,515,-111
776,516,27
947,517,171
1264,518,317
1671,519,407
2140,520,469
2613,521,473
3065,522,452
3437,523,372
3683,524,246
3787,525,104
3737,526,-50
3538,527,-199
3195,528,-343
2771,529,-424
2310,530,-461
1837,531,-473
1405,532,-432
1048,533,-357
817,534,-231
745,535,-72
802,536,57
1016,537,214
1366,538,350
1788,539,422
2258,540,470
2731,541,473
3162,542,431
3516,543,354
3727,544,211
3790,545,63
3698,546,-92
3463,547,-235
3095,548,-368
2656,549,-439
2186,550,-470
1715,551,-471
1310,552,-405
976,553,-334
786,554,-190
746,555,-40
840,556,94
1088,557,248
1466,558,378
1908,559,442
2386,560,478
2853,561,467
3257,562,404
3580,563,323
3755,564,175
3781,565,26
3651,566,-130
3384,567,-267
3000,568,-384
2548,569,-452
2066,570,-482
1603,571,-463
1208,572,-395
913,573,-295
757,574,-156
753,575,-4
888,576,135
1171,577,283
1561,578,390
2025,579,464
2506,580,481
2962,581,456
3352,582,390
3634,583,282
3775,584,141
3764,585,-11
3595,586,-169
3288,587,-307
2891,588,-397
2430,589,-461
1951,590,-479
1505,591,-446
1122,592,-383
860,593,-262
749,594,-111
776,595,27
949,596,173
1264,597,315
1672,598,408
2141,599,469
2617,600,476
3066,601,449
3438,602,372
3684,603,246
3788,604,104
3737,605,-51
3538,606,-199
3194,607,-344
2770,608,-424
2308,609,-462
1836,610,-472
1404,611,-432
1053,612,-351
816,613,-237
744,614,-72
802,615,58
1012,616,210
1365,617,353
1788,618,423
2260,619,472
2731,620,471
3162,621,431
3513,622,351
3725,623,212
3790,624,65
3698,625,-92
3465,626,-233
3097,627,-368
2657,628,-440
2184,629,-473
1713,630,-471
1308,631,-405
974,632,-334
785,633,-189
745,634,-40
839,635,94
1087,636,248
1465,637,378
1909,638,444
2389,639,480
2852,640,463
3256,641,404
3579,642,323
3756,643,177
3781,644,25
3651,645,-130
3384,646,-267
2999,647,-385
2551,648,-448
2068,649,-483
1604,650,-464
1209,651,-395
914,652,-295
758,653,-156
752,654,-6
888,655,136
1171,656,283
1559,657,388
2025,658,466
2505,659,480
2961,660,456
3353,661,392
3633,662,280
3775,663,142
3764,664,-11
3597,665,-167
3289,666,-308
2894,667,-395
2431,668,-463
1954,669,-477
1507,670,-447
1124,671,-383
861,672,-263
750,673,-111
775,674,25
946,675,171
1265,676,319
1668,677,403
2138,678,470
2614,679,476
3065,680,451
3436,681,371
3683,682,247
3787,683,104
3736,684,-51
3539,685,-197
3197,686,-342
2774,687,-423
2311,688,-463
1837,689,-474
1406,690,-431
1049,691,-357
818,692,-231
745,693,-73
802,694,57
1011,695,209
1363,696,352
1786,697,423
2258,698,472
2730,699,472
3163,700,433
3515,701,352
3722,702,207
3789,703,67
3699,704,-90
3465,705,-234
3099,706,-366
2660,707,-439
2188,708,-472
1717,709,-471
1312,710,-405
978,711,-334
789,712,-189
747,713,-42
838,714,91
1086,715,248
1462,716,376
1904,717,442
2383,718,479
2848,719,465
3253,720,405
3577,721,324
3753,722,176
3781,723,28
3654,724,-127
3385,725,-269
3006,726,-379
2551,727,-455
2069,728,-482
1606,729,-463
1211,730,-395
911,731,-300
758,732,-153
751,733,-7
885,734,134
1166,735,281
1556,736,390
2021,737,465
2502,738,481
2958,739,456
3351,740,393
3630,741,279
3776,742,146
3764,743,-12
3597,744,-167
3291,745,-306
2897,746,-394
2437,747,-460
1959,748,-478
1504,749,-455
1127,750,-377
863,751,-264
750,752,-113
772,753,22
948,754,176
1260,755,312
1665,756,405
2135,757,470
2611,758,476
3063,759,452
3433,760,370
3681,761,248
3785,762,104
3736,763,-49
3539,764,-197
3197,765,-342
2775,766,-422
2314,767,-461
1839,768,-475
1408,769,-431
1052,770,-356
820,771,-232
747,772,-73
802,773,55
1011,774,209
1358,775,347
1784,776,426
2257,777,473
2728,778,471
3157,779,429
3513,780,356
3722,781,209
3789,782,67
3698,783,-91
3464,784,-234
3100,785,-364
2659,786,-441
2187,787,-472
1715,788,-472
1310,789,-405
973,790,-337
788,791,-185
747,792,-41
839,793,92
1087,794,248
1462,795,375
1904,796,442
2384,797,480
2849,798,465
3254,799,405
3579,800,325
3753,801,174
3778,802,25
3651,803,-127
3384,804,-267
3001,805,-383
2553,806,-448
2070,807,-483
1605,808,-465
1210,809,-395
915,810,-295
765,811,-150
754,812,-11
887,813,133
1170,814,283
1558,815,388
2021,816,463
2502,817,481
2959,818,457
3353,819,394
3631,820,278
3774,821,143
3763,822,-11
3598,823,-165
3289,824,-309
2895,825,-394
2435,826,-460
1958,827,-477
1509,828,-449
1126,829,-383
864,830,-262
750,831,-114
776,832,26
945,833,169
1263,834,318
1668,835,405
2135,836,467
2611,837,476
3063,838,452
3434,839,371
3688,840,254
3785,841,97
3736,842,-49
3539,843,-197
3197,844,-342
2773,845,-424
2313,846,-460
1841,847,-472
1413,848,-428
1050,849,-363
820,850,-230
747,851,-73
800,852,53
1010,853,210
1362,854,352
1784,855,422
2255,856,471
2725,857,470
3160,858,435
3511,859,351
3721,860,210
3789,861,68
3699,862,-90
3464,863,-235
3100,864,-364
2660,865,-440
2193,866,-467
1719,867,-474
1311,868,-408
978,869,-333
790,870,-188
748,871,-42
838,872,90
1086,873,248
1460,874,374
1904,875,444
2383,876,479
2848,877,465
3255,878,407
3577,879,322
3753,880,176
3780,881,27
3652,882,-128
3385,883,-267
3003,884,-382
2551,885,-452
2070,886,-481
1606,887,-464
1210,888,-396
915,889,-295
761,890,-154
753,891,-8
886,892,133
1168,893,282
1556,894,388
2022,895,466
2502,896,480
2958,897,456
3346,898,388
3631,899,285
3774,900,143
3764,901,-10
3595,902,-169
3289,903,-306
2895,904,-394
2436,905,-459
1958,906,-478
1509,907,-449
1126,908,-383
863,909,-263
751,910,-112
777,911,26
945,912,168
1260,913,315
1664,914,404
2134,915,470
2610,916,476
3061,917,451
3434,918,373
3679,919,245
3786,920,107
3736,921,-50
3539,922,-197
3198,923,-341
2776,924,-422
2316,925,-460
1843,926,-473
1410,927,-433
1053,928,-357
821,929,-232
748,930,-73
802,931,54
1009,932,207
1360,933,351
1783,934,423
2255,935,472
2726,936,471
3153,937,427
3509,938,356
3726,939,217
3789,940,63
3699,941,-90
3465,942,-234
3102,943,-363
2660,944,-442
2190,945,-470
1721,946,-469
1313,947,-408
981,948,-332
790,949,-191
749,950,-41
839,951,90
1086,952,247
1461,953,375
1902,954,441
2384,955,482
2846,956,462
3252,957,406
3577,958,325
3753,959,176
3780,960,27
3652,961,-128
3385,962,-267
3005,963,-380
2552,964,-453
2072,965,-480
1610,966,-462
1215,967,-395
918,968,-297
763,969,-155
755,970,-8
886,971,131
1168,972,282
1555,973,387
2020,974,465
2500,975,480
2956,976,456
3348,977,392
3631,978,283
3774,979,143
3763,980,-11
3596,981,-167
3288,982,-308
2898,983,-390
2436,984,-462
1958,985,-478
1512,986,-446
1129,987,-383
863,988,-266
751,989,-112
777,990,26
945,991,168
1260,992,315
1666,993,406
2135,994,469
2610,995,475
3062,996,452
3432,997,370
3681,998,249
3786,999,105
3735,1000,-51
3541,1001,-194
3199,1002,-342
2776,1003,-423
2316,1004,-460
1842,1005,-474
1410,1006,-432
1054,1007,-356
821,1008,-233
749,1009,-72
802,1010,53
1010,1011,208
1361,1012,351
1782,1013,421
2254,1014,472
2725,1015,471
3156,1016,431
3508,1017,352
3722,1018,214
3788,1019,66
3699,1020,-89
3466,1021,-233
3101,1022,-365
2662,1023,-439
2191,1024,-471
1720,1025,-471
1315,1026,-405
981,1027,-334
788,1028,-193
750,1029,-38
839,1030,89
1086,1031,247
1461,1032,375
1903,1033,442
2383,1034,480
2849,1035,466
3251,1036,402
3576,1037,325
3753,1038,177
3780,1039,27
3652,1040,-128
3385,1041,-267
3004,1042,-381
2551,1043,-453
2070,1044,-481
1610,1045,-460
1215,1046,-395
918,1047,-297
762,1048,-156
755,1049,-7
886,1050,131
1169,1051,283
1557,1052,388
2023,1053,466
2499,1054,476
2956,1055,457
3348,1056,392
3632,1057,284
3775,1058,143
3764,1059,-11
3596,1060,-168
3290,1061,-306
2897,1062,-393
2436,1063,-461
1959,1064,-477
1514,1065,-445
1133,1066,-381
865,1067,-268
750,1068,-115
777,1069,27
944,1070,167
1260,1071,316
1663,1072,403
2132,1073,469
2610,1074,478
3059,1075,449
3432,1076,373
3680,1077,248
3786,1078,106
3736,1079,-50
3541,1080,-195
3199,1081,-342
2778,1082,-421
2316,1083,-462
1844,1084,-472
1412,1085,-432
1056,1086,-356
822,1087,-234
747,1088,-75
802,1089,55
1008,1090,206
1360,1091,352
1778,1092,418
2250,1093,472
2723,1094,473
3155,1095,432
3507,1096,352
3720,1097,213
3789,1098,69
3699,1099,-90
3467,1100,-232
3103,1101,-364
2664,1102,-439
2192,1103,-472
1722,1104,-470
1316,1105,-406
983,1106,-333
791,1107,-192
747,1108,-44
838,1109,91
1084,1110,246
1458,1111,374
1900,1112,442
2379,1113,479
2845,1114,466
3249,1115,404
3574,1116,325
3752,1117,178
3781,1118,29
3653,1119,-128
3386,1120,-267
3005,1121,-381
2553,1122,-452
2072,1123,-481
1611,1124,-461
1216,1125,-395
919,1126,-297
772,1127,-147
753,1128,-19
886,1129,133
1168,1130,282
1555,1131,387
2017,1132,462
2498,1133,481
2955,1134,457
3347,1135,392
3628,1136,281
3774,1137,146
3764,1138,-10
3597,1139,-167
3292,1140,-305
2897,1141,-395
2439,1142,-458
1959,1143,-480
1513,1144,-446
1130,1145,-383
866,1146,-264
752,1147,-114
778,1148,26
944,1149,166
1259,1150,315
1663,1151,404
2130,1152,467
2606,1153,476
3058,1154,452
3429,1155,371
3679,1156,250
3785,1157,106
3738,1158,-47
3541,1159,-197
3202,1160,-339
2779,1161,-423
2320,1162,-459
1845,1163,-475
1413,1164,-432
1056,1165,-357
823,1166,-233
748,1167,-75
801,1168,53
1007,1169,206
1358,1170,351
1775,1171,417
2247,1172,472
2719,1173,472
3152,1174,433
3505,1175,353
3718,1176,213
3788,1177,70
3702,1178,-86
3470,1179,-232
3109,1180,-361
2669,1181,-440
2198,1182,-471
1727,1183,-471
1321,1184,-406
986,1185,-335
792,1186,-194
750,1187,-42
835,1188,85
1080,1189,245
1451,1190,371
1893,1191,442
2369,1192,476
2837,1193,468
3242,1194,405
3572,1195,330
3749,1196,177
3780,1197,31
3657,1198,-123
3394,1199,-263
3014,1200,-380
2562,1201,-452
2083,1202,-479
1620,1203,-463
1223,1204,-397
924,1205,-299
773,1206,-151
755,1207,-18
881,1208,126
1159,1209,278
1547,1210,388
2007,1211,460
2488,1212,481
2945,1213,457
3337,1214,392
3623,1215,286
3771,1216,148
3765,1217,-6
3604,1218,-161
3300,1219,-304
2909,1220,-391
2448,1221,-461
1970,1222,-478
1520,1223,-450
1138,1224,-382
871,1225,-267
752,1226,-119
776,1227,24
938,1228,162
1247,1229,309
1653,1230,406
2121,1231,468
2595,1232,474
3050,1233,455
3422,1234,372
3674,1235,252
3783,1236,109
3738,1237,-45
3548,1238,-190
3211,1239,-337
2792,1240,-419
2332,1241,-460
1856,1242,-476
1423,1243,-433
1058,1244,-365
827,1245,-231
748,1246,-79
801,1247,53
1004,1248,203
1350,1249,346
1765,1250,415
2238,1251,473
2713,1252,475
3143,1253,430
3498,1254,355
3715,1255,217
3787,1256,72
3703,1257,-84
3476,1258,-227
3114,1259,-362
2676,1260,-438
2205,1261,-471
1733,1262,-472
1326,1263,-407
991,1264,-335
794,1265,-197
750,1266,-44
834,1267,84
1074,1268,240
1446,1269,372
1887,1270,441
2365,1271,478
2830,1272,465
3237,1273,407
3569,1274,332
3748,1275,179
3780,1276,32
3659,1277,-121
3398,1278,-261
3019,1279,-379
2565,1280,-454
2088,1281,-477
1625,1282,-463
1227,1283,-398
926,1284,-301
772,1285,-154
754,1286,-18
880,1287,126
1156,1288,276
1542,1289,386
2004,1290,462
2482,1291,478
2940,1292,458
3332,1293,392
3620,1294,288
3771,1295,151
3766,1296,-5
3603,1297,-163
3306,1298,-297
2913,1299,-393
2454,1300,-459
1977,1301,-477
1526,1302,-451
1140,1303,-386
872,1304,-268
753,1305,-119
775,1306,22
936,1307,161
1243,1308,307
1648,1309,405
2116,1310,468
2591,1311,475
3045,1312,454
3419,1313,374
3678,1314,259
3784,1315,106
3740,1316,-44
3551,1317,-189
3214,1318,-337
2796,1319,-418
2337,1320,-459
1864,1321,-473
1426,1322,-438
1059,1323,-367
828,1324,-231
751,1325,-77
798,1326,47
1002,1327,204
1343,1328,341
1759,1329,416
2232,1330,473
2705,1331,473
3137,1332,432
3496,1333,359
3713,1334,217
3787,1335,74
3705,1336,-82
3478,1337,-227
3116,1338,-362
2681,1339,-435
2210,1340,-471
1739,1341,-471
1326,1342,-413
993,1343,-333
794,1344,-199
750,1345,-44
832,1346,82
1074,1347,242
1441,1348,367
1882,1349,441
2359,1350,477
2826,1351,467
3234,1352,408
3563,1353,329
3746,1354,183
3780,1355,34
3658,1356,-122
3397,1357,-261
3022,1358,-375
2569,1359,-453
2089,1360,-480
1628,1361,-461
1229,1362,-399
928,1363,-301
773,1364,-155
754,1365,-19
878,1366,124
1153,1367,275
1539,1368,386
2000,1369,461
2476,1370,476
2935,1371,459
3326,1372,391
3619,1373,293
3769,1374,150
3766,1375,-3
3605,1376,-161
3307,1377,-298
2916,1378,-391
2458,1379,-458
1982,1380,-476
1528,1381,-454
1143,1382,-385
875,1383,-268
755,1384,-120
773,1385,18
933,1386,160
1240,1387,307
1640,1388,400
2108,1389,468
2584,1390,476
3041,1391,457
3413,1392,372
3668,1393,255
3783,1394,115
3742,1395,-41
3553,1396,-189
3218,1397,-335
2806,1398,-412
2344,1399,-462
1867,1400,-477
1433,1401,-434
1067,1402,-366
830,1403,-237
750,1404,-80
796,1405,46
995,1406,199
1337,1407,342
1748,1408,411
2222,1409,474
2694,1410,472
3129,1411,435
3490,1412,361
3711,1413,221
3787,1414,76
3709,1415,-78
3485,1416,-224
3126,1417,-359
2691,1418,-435
2224,1419,-467
1750,1420,-474
1341,1421,-409
1001,1422,-340
797,1423,-204
749,1424,-48
828,1425,79
1063,1426,235
1438,1427,375
1868,1428,430
2345,1429,477
2808,1430,463
3225,1431,417
3559,1432,334
3744,1433,185
3782,1434,38
3665,1435,-117
3407,1436,-258
3033,1437,-374
2581,1438,-452
2109,1439,-472
1640,1440,-469
1241,1441,-399
934,1442,-307
775,1443,-159
754,1444,-21
872,1445,118
1143,1446,271
1527,1447,384
1983,1448,456
2464,1449,481
2923,1450,459
3314,1451,391
3611,1452,297
3767,1453,156
3768,1454,1
3614,1455,-154
3323,1456,-291
2930,1457,-393
2474,1458,-456
1997,1459,-477
1541,1460,-456
1155,1461,-386
880,1462,-275
753,1463,-127
768,1464,15
923,1465,155
1226,1466,303
1627,1467,401
2086,1468,459
2567,1469,481
3023,1470,456
3404,1471,381
3663,1472,259
3782,1473,119
3746,1474,-36
3564,1475,-182
3231,1476,-333
2826,1477,-405
2362,1478,-464
1886,1479,-476
1445,1480,-441
1076,1481,-369
836,1482,-240
750,1483,-86
793,1484,43
988,1485,195
1323,1486,335
1734,1487,411
2206,1488,472
2680,1489,474
3120,1490,440
3478,1491,358
3706,1492,228
3787,1493,81
3713,1494,-74
3495,1495,-218
3140,1496,-355
2707,1497,-433
2233,1498,-474
1766,1499,-467
1352,1500,-414
1005,1501,-347
800,1502,-205
748,1503,-52
822,1504,74
1052,1505,230
1420,1506,368
1856,1507,436
2333,1508,477
2792,1509,459
3211,1510,419
3550,1511,339
3740,1512,190
3784,1513,44
3673,1514,-111
3419,1515,-254
3046,1516,-373
2597,1517,-449
2123,1518,-474
1655,1519,-468
1248,1520,-407
943,1521,-305
777,1522,-166
752,1523,-25
866,1524,114
1133,1525,267
1517,1526,384
1966,1527,449
2449,1528,483
2909,1529,460
3301,1530,392
3604,1531,303
3766,1532,162
3771,1533,5
3620,1534,-151
3339,1535,-281
2943,1536,-396
2490,1537,-453
2011,1538,-479
1552,1539,-459
1169,1540,-383
887,1541,-282
755,1542,-132
768,1543,13
915,1544,147
1214,1545,299
1612,1546,398
2074,1547,462
2556,1548,482
3013,1549,457
3391,1550,378
3657,1551,266
3780,1552,123
3751,1553,-29
3571,1554,-180
3243,1555,-328
2841,1556,-402
2376,1557,-465
1901,1558,-475
1460,1559,-441
1087,1560,-373
841,1561,-246
749,1562,-92
786,1563,37
976,1564,190
1311,1565,335
1717,1566,406
2190,1567,473
2662,1568,472
3103,1569,441
3468,1570,365
3701,1571,233
3787,1572,86
3720,1573,-67
3505,1574,-215
3155,1575,-350
2724,1576,-431
2253,1577,-471
1787,1578,-466
1365,1579,-422
1017,1580,-348
806,1581,-211
747,1582,-59
817,1583,70
1050,1584,233
1403,1585,353
1835,1586,432
2311,1587,476
2771,1588,460
3197,1589,426
3540,1590,343
3736,1591,196
3785,1592,49
3681,1593,-104
3432,1594,-249
3061,1595,-371
2613,1596,-448
2140,1597,-473
1674,1598,-466
1273,1599,-401
955,1600,-318
779,1601,-176
751,1602,-28
856,1603,105
1116,1604,260
1498,1605,382
1946,1606,448
2428,1607,482
2888,1608,460
3284,1609,396
3593,1610,309
3762,1611,169
3774,1612,12
3634,1613,-140
3354,1614,-280
2965,1615,-389
2513,1616,-452
2031,1617,-482
1570,1618,-461
1182,1619,-388
896,1620,-286
755,1621,-141
758,1622,3
905,1623,147
1199,1624,294
1591,1625,392
2055,1626,464
2542,1627,487
2991,1628,449
3377,1629,386
3647,1630,270
3779,1631,132
3755,1632,-24
3579,1633,-176
3260,1634,-319
2859,1635,-401
2397,1636,-462
1918,1637,-479
1479,1638,-439
1101,1639,-378
847,1640,-254
749,1641,-98
783,1642,34
965,1643,182
1294,1644,329
1698,1645,404
2170,1646,472
2646,1647,476
3088,1648,442
3456,1649,368
3691,1650,235
3787,1651,96
3726,1652,-61
3518,1653,-208
3169,1654,-349
2740,1655,-429
2275,1656,-465
1804,1657,-471
1381,1658,-423
1025,1659,-356
810,1660,-215
747,1661,-63
812,1662,65
1028,1663,216
1389,1664,361
1818,1665,429
2292,1666,474
2758,1667,466
3181,1668,423
3529,1669,348
3731,1670,202
3786,1671,55
3686,1672,-100
3445,1673,-241
3075,1674,-370
2629,1675,-446
2155,1676,-474
1687,1677,-468
1283,1678,-404
963,1679,-320
784,1680,-179
748,1681,-36
849,1682,101
1107,1683,258
1487,1684,380
1933,1685,446
2413,1686,480
2877,1687,464
3279,1688,402
3588,1689,309
3760,1690,172
3777,1691,17
3639,1692,-138
3365,1693,-274
2976,1694,-389
2524,1695,-452
2042,1696,-482
1580,1697,-462
1193,1698,-387
904,1699,-289
757,1700,-147
758,1701,1
899,1702,141
1189,1703,290
1582,1704,393
2045,1705,463
2527,1706,482
2983,1707,456
3368,1708,385
3642,1709,274
3779,1710,137
3759,1711,-20
3586,1712,-173
3270,1713,-316
2872,1714,-398
2409,1715,-463
1935,1716,-474
1487,1717,-448
1110,1718,-377
853,1719,-257
750,1720,-103
780,1721,30
959,1722,179
1281,1723,322
1688,1724,407
2159,1725,471
2635,1726,476
3080,1727,445
3448,1728,368
3690,1729,242
3788,1730,98
3729,1731,-59
3523,1732,-206
3178,1733,-345
2751,1734,-427
2284,1735,-467
1816,1736,-468
1387,1737,-429
1033,1738,-354
811,1739,-222
748,1740,-63
809,1741,61
1021,1742,212
1383,1743,362
1808,1744,425
2281,1745,473
2749,1746,468
3177,1747,428
3526,1748,349
3729,1749,203
3787,1750,58
3692,1751,-95
3452,1752,-240
3083,1753,-369
2638,1754,-445
2166,1755,-472
1696,1756,-470
1292,1757,-404
968,1758,-324
785,1759,-183
748,1760,-37
847,1761,99
1100,1762,253
1478,1763,378
1923,1764,445
2403,1765,480
2866,1766,463
3268,1767,402
3584,1768,316
3757,1769,173
3779,1770,22
3644,1771,-135
3371,1772,-273
2986,1773,-385
2534,1774,-452
2052,1775,-482
1590,1776,-462
1197,1777,-393
907,1778,-290
759,1779,-148
757,1780,-2
896,1781,139
1182,1782,286
1572,1783,390
2037,1784,465
2517,1785,480
2972,1786,455
3364,1787,392
3637,1788,273
3776,1789,139
3761,1790,-15
3590,1791,-171
3277,1792,-313
2880,1793,-397
2419,1794,-461
1939,1795,-480
1494,1796,-445
1114,1797,-380
856,1798,-258
750,1799,-106
779,1800,29
953,1801,174
1275,1802,322
1680,1803,405
